Bag,Height,Length,Width,Cup_ratio,Shell_index,Oyster #,Sum actual dimen.,3:2:1 exp. height,3:2:1 exp. length,3:2:1 exp. width,Chi-square
3,52,39,15,0.29,0.80,72,106,53,35.33333333,17.66666667,0.8018867925
3,45,26,9,0.20,2.05,73,80,40,26.66666667,13.33333333,2.05
3,35,20,8,0.23,1.03,74,63,31.5,21,10.5,1.031746032
3,40,29,10,0.25,1.04,75,79,39.5,26.33333333,13.16666667,1.037974684
3,40,30,10,0.25,1.25,76,80,40,26.66666667,13.33333333,1.25
3,40,25,9,0.23,1.15,77,74,37,24.66666667,12.33333333,1.148648649
3,26,18,7,0.27,0.33,78,51,25.5,17,8.5,0.3333333333
3,28,18,8,0.29,0.15,79,54,27,18,9,0.1481481481
3,24,21,5,0.21,2.50,80,50,25,16.66666667,8.333333333,2.5
3,39,24,9,0.23,1.00,81,72,36,24,12,1
3,36,28,13,0.36,0.38,82,77,38.5,25.66666667,12.83333333,0.3766233766
3,45,30,10,0.22,1.47,83,85,42.5,28.33333333,14.16666667,1.470588235
3,38,32,11,0.29,1.54,84,81,40.5,27,13.5,1.543209877
3,49,31,13,0.27,0.54,85,93,46.5,31,15.5,0.5376344086
3,40,25,11,0.28,0.33,86,76,38,25.33333333,12.66666667,0.3289473684
3,42,30,12,0.29,0.43,87,84,42,28,14,0.4285714286
3,29,24,7,0.24,1.73,88,60,30,20,10,1.733333333
3,40,24,9,0.23,1.16,89,73,36.5,24.33333333,12.16666667,1.164383562
3,64,42,16,0.25,1.11,90,122,61,40.66666667,20.33333333,1.114754098
3,32,24,9,0.28,0.57,91,65,32.5,21.66666667,10.83333333,0.5692307692
3,47,27,11,0.23,1.25,92,85,42.5,28.33333333,14.16666667,1.247058824
3,42,27,8,0.19,2.21,93,77,38.5,25.66666667,12.83333333,2.207792208
3,41,27,11,0.27,0.43,94,79,39.5,26.33333333,13.16666667,0.4303797468
3,27,20,9,0.33,0.14,95,56,28,18.66666667,9.333333333,0.1428571429
3,43,27,17,0.40,0.57,96,87,43.5,29,14.5,0.5747126437
Rep.,37,24,13,0.35,0.05,1,74,37,24.66666667,12.33333333,0.05405405405
Rep.,48,37,13,0.27,1.28,2,98,49,32.66666667,16.33333333,1.275510204
Rep.,46,37,12,0.26,1.87,3,95,47.5,31.66666667,15.83333333,1.873684211
Rep.,67,39,15,0.22,2.07,4,121,60.5,40.33333333,20.16666667,2.066115702
Rep.,36,35,13,0.36,2.68,5,84,42,28,14,2.678571429
Rep.,60,42,19,0.32,0.14,6,121,60.5,40.33333333,20.16666667,0.1404958678
Rep.,60,40,20,0.33,0.00,7,120,60,40,20,0
Rep.,47,29,11,0.23,1.13,8,87,43.5,29,14.5,1.126436782
Rep.,48,34,13,0.27,0.68,9,95,47.5,31.66666667,15.83333333,0.6842105263
Rep.,38,28,8,0.21,2.00,10,74,37,24.66666667,12.33333333,2
Rep.,40,27,9,0.23,1.28,11,76,38,25.33333333,12.66666667,1.276315789
Rep.,45,29,12,0.27,0.48,12,86,43,28.66666667,14.33333333,0.476744186
Rep.,49,36,13,0.27,1.02,13,98,49,32.66666667,16.33333333,1.020408163
