Date.time,Low.sal,High.sal,Temp
06/13/2022 17:00:00,33.5989,31.9959,18.59
06/13/2022 18:00:00,33.5989,31.7483,17.77
06/13/2022 19:00:00,33.5989,31.4047,16.55
06/13/2022 20:00:00,33.5989,31.3825,16.41
06/13/2022 21:00:00,33.5989,31.3973,16.46
06/13/2022 22:00:00,33.5989,31.4863,16.74
06/13/2022 23:00:00,33.5989,31.4541,16.6
06/14/2022 00:00:00,33.5989,31.1373,15.69
06/14/2022 01:00:00,33.5989,31.0449,15.24
06/14/2022 02:00:00,33.5989,31.0303,15.19
06/14/2022 03:00:00,33.5989,31.0158,15.24
06/14/2022 04:00:00,33.5989,30.9288,14.93
06/14/2022 05:00:00,0.3429,0.3575,12.93
06/14/2022 06:00:00,0.313,0.3249,15.35
06/14/2022 07:00:00,33.5989,31.0376,15.31
06/14/2022 08:00:00,33.5989,31.0813,15.41
06/14/2022 09:00:00,33.5989,31.0886,15.48
06/14/2022 10:00:00,33.5989,31.057,15.3
06/14/2022 11:00:00,33.5989,31.1275,15.62
06/14/2022 12:00:00,33.5989,31.2399,16.02
06/14/2022 13:00:00,0.2125,0.2192,25.07
