Location,Gear,Treatment,Cage,Bag,Oyster,Height,Length,Width,Cup.ratio,Shell.shape
Inside,FB,FBi,,3,67,37,24,12,0.32,0.01
Inside,FB,FBi,,3,68,30,16,7,0.23,1.00
Inside,FB,FBi,,3,69,29,18,10,0.34,0.09
Inside,FB,FBi,,3,70,32,26,9,0.28,1.09
Inside,FB,FBi,,3,71,49,30,13,0.27,0.57
Inside,FB,FBi,,3,72,31,23,8,0.26,0.79
Inside,FB,FBi,,3,73,60,30,15,0.25,2.14
Inside,FB,FBi,,3,74,32,19,8,0.25,0.58
Inside,FB,FBi,,3,75,59,38,16,0.27,0.54
Inside,FB,FBi,,3,76,42,23,10,0.24,1.20
Inside,FB,FBi,,3,77,60,40,16,0.27,0.69
Inside,FB,FBi,,3,78,40,32,11,0.28,1.31
Inside,FB,FBi,,3,79,25,27,7,0.28,4.24
Inside,FB,FBi,,3,80,54,39,16,0.30,0.46
Inside,FB,FBi,,3,81,45,28,13,0.29,0.23
Inside,FB,FBi,,3,82,31,24,7,0.23,1.61
Inside,FB,FBi,,3,83,46,27,10,0.22,1.57
Inside,FB,FBi,,3,84,47,35,12,0.26,1.29
Inside,FB,FBi,,3,85,36,22,12,0.33,0.11
Inside,FB,FBi,,3,86,46,33,14,0.30,0.28
Inside,FB,FBi,,3,87,35,18,9,0.26,1.03
Inside,FB,FBi,,3,88,61,36,18,0.30,0.43
Inside,FB,FBi,,3,89,50,31,11,0.22,1.58
Inside,FB,FBi,,3,90,31,23,10,0.32,0.20
Inside,FB,FBi,,3,91,30,30,10,0.33,2.86
Inside,FB,FBi,,3,92,38,31,11,0.29,1.21
Inside,FB,FBi,,3,93,40,28,10,0.25,0.87
Inside,FB,FBi,,3,94,53,28,10,0.19,3.18
Inside,FB,FBi,,3,95,33,24,9,0.27,0.55
Inside,FB,FBi,,3,96,62,34,15,0.24,1.67
Outside,FB,FBo,,1,1,50,28,14,0.28,0.70
Outside,FB,FBo,,1,2,51,31,16,0.31,0.17
Outside,FB,FBo,,1,3,56,33,13,0.23,1.46
Outside,FB,FBo,,1,4,53,40,15,0.28,0.96
Outside,FB,FBo,,1,5,61,32,15,0.25,1.85
Outside,FB,FBo,,1,6,47,30,10,0.21,1.71
Outside,FB,FBo,,1,7,43,27,11,0.26,0.62
Outside,FB,FBo,,1,8,49,29,13,0.27,0.64
Outside,FB,FBo,,1,9,63,36,13,0.21,2.64
Outside,FB,FBo,,1,10,38,20,10,0.26,0.94
Outside,FB,FBo,,1,11,32,24,10,0.31,0.30
Outside,FB,FBo,,1,12,30,21,5,0.17,2.45
Outside,FB,FBo,,1,13,58,40,15,0.26,0.96
Outside,FB,FBo,,1,14,39,26,10,0.26,0.60
Outside,FB,FBo,,1,15,58,34,14,0.24,1.28
Outside,FB,FBo,,1,16,40,31,12,0.30,0.70
Outside,FB,FBo,,1,17,59,40,15,0.25,1.02
Outside,FB,FBo,,1,18,39,28,11,0.28,0.46
Outside,FB,FBo,,1,19,32,24,6,0.19,2.39
Outside,FB,FBo,,1,20,57,38,14,0.25,1.15
Outside,FB,FBo,,1,21,32,19,7,0.22,1.05
Outside,FB,FBo,,1,22,25,20,7,0.28,0.77
Outside,FB,FBo,,1,23,47,24,10,0.21,2.28
Outside,FB,FBo,,1,24,52,30,14,0.27,0.71
Outside,FB,FBo,,1,25,49,30,10,0.20,2.03
Outside,FB,FBo,,1,26,46,31,13,0.28,0.32
Outside,FB,FBo,,1,27,46,31,13,0.28,0.32
Outside,FB,FBo,,1,28,44,31,11,0.25,0.99
Outside,FB,FBo,,1,29,40,35,12,0.30,1.95
Outside,FB,FBo,,1,30,26,16,7,0.27,0.27
Outside,FB,FBo,,1,31,46,36,11,0.24,2.12
Outside,FB,FBo,,1,32,28,11,8,0.29,2.26
Outside,FB,FBo,,2,33,59,36,12,0.20,2.48
Outside,FB,FBo,,2,34,45,33,13,0.29,0.55
Outside,FB,FBo,,2,35,40,26,11,0.28,0.32
Outside,FB,FBo,,2,36,46,31,12,0.26,0.65
Outside,FB,FBo,,2,37,37,27,10,0.27,0.66
Outside,FB,FBo,,2,38,59,38,16,0.27,0.54
Outside,FB,FBo,,2,39,57,30,17,0.30,1.12
Outside,FB,FBo,,2,40,42,22,10,0.24,1.41
Outside,FB,FBo,,2,41,38,25,11,0.29,0.18
Outside,FB,FBo,,2,42,42,23,10,0.24,1.20
Outside,FB,FBo,,2,43,32,21,10,0.31,0.03
Outside,FB,FBo,,2,44,44,27,13,0.30,0.20
Outside,FB,FBo,,2,45,44,30,11,0.25,0.86
Outside,FB,FBo,,2,46,44,32,11,0.25,1.16
Outside,FB,FBo,,2,47,35,23,11,0.31,0.03
Outside,FB,FBo,,2,48,42,24,10,0.24,1.05
Outside,FB,FBo,,2,49,45,29,12,0.27,0.48
Outside,FB,FBo,,2,50,38,33,11,0.29,1.91
Outside,FB,FBo,,2,51,29,20,7,0.24,0.71
Outside,FB,FBo,,2,52,46,29,12,0.26,0.57
Outside,FB,FBo,,2,53,45,24,11,0.24,1.30
Outside,FB,FBo,,2,54,48,36,12,0.25,1.50
Outside,FB,FBo,,2,55,39,28,10,0.26,0.84
Outside,FB,FBo,,2,56,34,23,8,0.24,0.89
Outside,FB,FBo,,2,57,28,26,9,0.32,1.79
Outside,FB,FBo,,2,58,26,20,8,0.31,0.37
Outside,FB,FBo,,2,59,26,20,7,0.27,0.70
Outside,FB,FBo,,2,60,25,21,8,0.32,0.76
Outside,FB,FBo,,2,61,43,30,10,0.23,1.31
Outside,FB,FBo,,2,62,45,29,11,0.24,0.87
Outside,FB,FBo,,2,63,32,25,9,0.28,0.80
Outside,FB,FBo,,2,64,30,22,8,0.27,0.60
Outside,FB,FBo,,3,65,43,36,11,0.26,2.36
Outside,FB,FBo,,3,66,62,34,16,0.26,1.32
Outside,FB,FBo,,3,67,69,43,19,0.28,0.56
Outside,FB,FBo,,3,68,42,25,11,0.26,0.58
Outside,FB,FBo,,3,69,55,34,13,0.24,1.25
Outside,FB,FBo,,3,70,64,30,20,0.31,2.60
Outside,FB,FBo,,3,71,48,34,16,0.33,0.08
Outside,FB,FBo,,3,72,52,39,15,0.29,0.80
Outside,FB,FBo,,3,73,45,26,9,0.20,2.05
